key_question,key_image,original_question,question,choices,correct_index,use_case
500,97,Why does the increased laser power cause more release of the molecules?,"Question:
In TIRF microscopy images of HeLa cells expressing mScarlet-CD4-PhoCl-RER, increased laser power during UV illumination results in more release of the molecules. What is the most likely mechanism by which increased laser power leads to increased molecule release?","['Increased laser power enhances the binding affinity of antibodies against mScarlet.', 'Higher laser power provides more energy to activate the photoconvertible protein PhoCl, triggering molecule release from the Golgi apparatus to the cell membrane.', 'Increased laser power causes thermal damage to the Golgi apparatus, resulting in non-specific release of molecules.', 'Higher laser power reduces the fluorescence intensity of DAPI, indirectly facilitating molecule release.']",1,
501,97,What is something that I can further test to optimize this ontogenetic method?,"Question:
In an experiment to optimize an ontogenetic method, HeLa cells expressing mScarlet-CD4-PhoCl-RER were subjected to various doses of UV illumination during TIRF imaging. Image {img_3} received no UV, {img_1} was exposed to 5 mW/mm², {img_2} to 9 mW/mm², and {img_0} to 14 mW/mm². To further enhance this method, which of the following experiments would be most appropriate?","['Increase the duration of UV illumination while keeping the power constant', 'Use a different fluorescent protein with higher photostability', 'Repeat the experiment using a functional multisubunit ion channel, such as the BK-channel', 'Decrease the concentration of mScarlet-CD4-PhoCl-RER to reduce background fluorescence']",2,
502,97,One challenge from other methods is that the delivery of single molecules is too leaky. How can I tell if there is any leakage if I do the experiment with the BK-channels?,"Question:
A TIRF microscopy experiment is conducted on HeLa cells expressing mScarlet-CD4-PhoCl-RER with antibodies against mScarlet at varying doses of UV illumination. One challenge with other methods is that the delivery of single molecules is too leaky. How can you determine if there is any leakage when performing the experiment with BK-channels?","['Measure the fluorescence intensity in illuminated cells', 'Analyze electrophysiological recordings for current in non-illuminated control cells', 'Assess morphological changes in the cell membranes using electron microscopy', 'Perform a Western blot to detect extracellular proteins']",1,
503,98,Why does the mesh density in the 2.63Å CryoEM map appear more diffuse compared to the 1.34Å map?,"Question:
In Cryo-electron microscopy (Cryo-EM), two images of Apoferritin were generated at resolutions of 1.34Å and 2.63Å. The mesh density in the 1.34Å map appears tightly conformed to the atomic positions, while the 2.63Å map shows a more diffuse mesh density. What is the most likely reason for the diffuse mesh density observed in the lower resolution map?","['Increased radiation damage from higher electron dosage', 'Insufficient staining of the sample', 'Lower resolution limits the ability to capture fine structural details', 'Software manipulation causing artificial blurring']",2,
504,98,What are the possible mechanisms that could contribute to the variation in density fit between the two CryoEM maps?,"Question:
Two Cryo-EM maps of Apoferritin were generated using a Titan Krios G3i electron microscope, displaying variations in density fit around the Tyrosine OH group. What is the most likely mechanism contributing to the differences in density fit between these two Cryo-EM maps?","['Variations in sample preparation methods, such as grid type', 'Differences in cumulative electron dose leading to radiation damage', 'Discrepancies in imaging conditions, including beam intensity and exposure time', 'All of the above']",3,
505,98,"How might changes in the Cryo-EM imaging process, such as electron dose or imaging time, lead to differences in the mesh density observed around the same atomic model?","Question:
A Cryo-EM image was captured using a 300 kV Titan Krios G3i electron microscope with a K3 detector, generating mesh density around a Protein Data Bank model of the Tyrosine OH group in Apoferritin. How might variations in the electron dose or imaging time during the Cryo-EM process affect the observed mesh density around the atomic model?","['Increased electron dose enhances mesh density resolution by improving signal quality.', 'Higher electron dose can cause radiation damage, leading to diffuse mesh density and reduced resolution.', 'Longer imaging times decrease cumulative electron exposure, preventing radiation damage.', 'Changes in electron dose do not significantly impact mesh density in Cryo-EM images.']",1,
506,98,"How should we refine the sample preparation protocol to minimize radiation damage, and what specific changes would likely yield better density maps?","Question:
A Cryo-EM study aims to minimize radiation damage during imaging to obtain higher quality density maps. Which of the following changes to the sample preparation protocol would most likely achieve this?","['Implementing cryoprotectants to stabilize protein structures**', 'Increasing sample thickness to enhance electron scattering', 'Using higher electron doses to maximize data quality', 'Slowing down the vitrification process to allow better sample preservation']",0,
507,98,"What unusual characteristics can be observed in the diffuse density of the 2.63Å map, and how does this contrast with expectations for Cryo-EM maps at this resolution?","Question:
A cryo-electron microscopy (Cryo-EM) study of Apoferritin was conducted, resulting in two maps: one at 1.34Å resolution and another at 2.63Å resolution. The 2.63Å map exhibits diffuse density around the Tyrosine OH group, which is less defined than typically expected at this resolution. What is the most likely reason for the observed diffuse density in the 2.63Å Cryo-EM map?","['Increased radiation damage due to higher electron dose', 'Enhanced detector sensitivity leading to oversaturated images', 'Improved sample preservation resulting in reduced structural movement', 'Natural flexibility of the Tyrosine residue causing averaging of density']",0,
508,99,"What specific structural details can be observed in {img_0} that contribute to a better density fit to the model, as opposed to in {img_1}?","Question:
In Cryo-EM analysis of Apoferritin, Image img_0 displays a model-generated map fit to the Protein Data Bank (PDB) model, resulting in a better density fit compared to Image img_1. What specific structural detail observed in img_0 contributes most to this improved density fit?","['Enhanced visibility of side chains, such as tyrosines, within the density map', 'Uniform surrounding density around backbone atoms of alpha helices', 'Increased presence of water molecules around the protein structure', 'Additional microtubule staining enhancing structural clarity']",1,
509,99,"Why are there Tyrosines in {img_1} that are not fit into the density, unlike the other sidechains in {img_0} , even though they are both showing alpha helices","Question:
A Cryo-EM image of Apoferritin was generated using a Titan Krios G3i electron microscope at two different resolutions: Image 1 at 1.69Å and Image 0 at 1.34Å. In Image 1, certain tyrosine sidechains do not fit into the electron density, whereas in Image 0, all sidechains are clearly visible. Both images display alpha helices. What is the most likely reason for the absence of tyrosine sidechains in Image 1?","['The use of a gold grid in Image 1 altered protein conformation', 'Radiation damage in Image 1 reduced electron density', 'Lower resolution in Image 1 impairs sidechain visibility', 'The staining protocol in Image 1 selectively masks tyrosine residues']",2,
510,99,How could variations in electron dose between the two imagess affect the observed density and what role does sample preparation play in the differences observed between the two images?,"Question:
In Cryo-EM imaging of Apoferritin, variations in electron dose and sample preparation can influence the quality of the observed density maps. What is the most likely effect of a higher electron dose combined with inadequate sample preparation on the Cryo-EM density map?","['Enhanced structural details due to increased signal', 'Radiation-induced damage resulting in blurred or diffuse density', 'Improved fit of the model to the density map', 'Reduced noise without affecting the overall density']",1,
511,99,"How might anisotropic effects influence the alignment of density around the Tyrosines in {img_1}, and why might this be less apparent in {img_0}?","Question:
A Cryo-Electron Microscopy (Cryo-EM) image of Apoferritin shows that the alignment of density around tyrosine residues in image {img_1} appears disrupted, whereas this disruption is less apparent in image {img_0}. What is the most likely reason for the difference in density alignment between the two images?","['Image {img_1} was captured using a lower magnification objective.', 'Anisotropic data collection in image {img_1} led to uneven resolution.', 'Image {img_0} utilized a different staining protocol that improved alignment.', 'Image {img_0} was processed with a higher gain detector, enhancing density clarity.']",1,
512,99,"Given the diffuse density observed around the Tyrosines in {img_1}, what steps should be taken to improve the fit of the density to the model, and why would these steps be effective?","Question:
A Cryo-EM image of Apoferritin shows diffuse electron density around Tyrosine residues. What is the most appropriate step to improve the fit of the density to the model, and why would this step be effective?","['Increase the overall electron dose to enhance signal strength', 'Perform focused refinement on the regions surrounding the Tyrosines', 'Apply a lower temperature during imaging to reduce thermal noise', 'Use a different staining protocol to better visualize the Tyrosines']",1,
513,100,In which subcellular locations is the protein present?,"Question:
Confocal microscopy images of U-251MG cells stained with DAPI (blue), α-tubulin (red), and a target protein (green) reveal the proteins localization within the cells. Based on these images, in which subcellular locations is the protein most likely present?","['Mitochondria, endoplasmic reticulum, and nucleus', 'Focal adhesion sites, cytosol, and centrosome', 'Lysosomes, Golgi apparatus, and peroxisomes', 'Plasma membrane, mitochondria, and Golgi apparatus']",1,
514,100,Which subcellular locations of the target protein are more in focus in image 1 versus image 2?,"Question:
A confocal microscopy study of U-251MG cells stained with DAPI (blue), α-tubulin (red), and a target protein (green) was conducted. Two images of the same field of view were captured at different focal planes, referred to as Image 1 and Image 2.

Which subcellular locations of the target protein are more prominently in focus in Image 1 compared to Image 2?","['Centrosomes and cytosol in Image 1; focal adhesion sites in Image 2', 'Focal adhesion sites in Image 1; centrosomes and cytosol in Image 2', 'Nucleus in Image 1; microtubules in Image 2', 'Mitochondria in Image 1; endoplasmic reticulum in Image 2']",1,
515,100,"Given the spatial organization of the protein, what could be its function?","Question:
A confocal microscopy image of U-251MG cells shows staining with DAPI (blue) for nuclei, α-tubulin (red) for microtubules, and a target protein (green). The green staining is observed at focal adhesions, the centrosome, and throughout the cytosol.

Given the spatial organization of the protein, what is its most likely function?","['Regulation of gene transcription within the nucleus', 'Involvement in cytoskeletal organization', 'Mediation of cell-cell adhesion', 'Facilitating mitochondrial energy production']",1,
